engine,nodes,edges,killed,setup_ms,retract_ms,ops,rss_mb,host_peak_mb,sqlite_hw_mb,db_mb
pglite-query,402,667,200,9.633,1.736,N/A,1035.1,N/A,N/A,38.117
pglite-query,12002,22667,2000,57.385,27.778,N/A,1048.8,N/A,N/A,39.274
pglite-query,160002,306667,20000,721.141,418.595,N/A,1391.5,N/A,N/A,70.274
native-postgres-query,402,667,200,5.483,1.917,N/A,140.7,N/A,N/A,7.412
native-postgres-query,12002,22667,2000,35.720,18.269,N/A,219.6,N/A,N/A,8.568
native-postgres-query,160002,306667,20000,481.055,226.245,N/A,492.5,N/A,N/A,23.568
swi-incr,402,667,200,1,1,0,12.78,N/A,N/A,N/A
swi-incr,12002,22667,2000,67,55,0,47.42,N/A,N/A,N/A
swi-incr,160002,306667,20000,1044,1136,0,648.47,N/A,N/A,N/A
differential-dataflow,402,667,200,0.568,0.240,200,4.0,N/A,N/A,N/A
differential-dataflow,12002,22667,2000,6.727,2.305,2000,8.5,N/A,N/A,N/A
differential-dataflow,160002,306667,20000,93.373,25.742,20000,72.4,N/A,N/A,N/A
sqlite-count,402,667,200,2.404,0.731,23,6.3,0.11,0.29,0.07
sqlite-count,12002,22667,2000,20.599,5.039,23,12.6,0.21,1.34,0.79
sqlite-count,160002,306667,20000,296.887,51.996,23,119.0,1.22,12.93,10.25
sqlite-count-scc,402,667,200,4.818,0.797,15,6.7,0.11,0.29,0.07
sqlite-count-scc,12002,22667,2000,21.159,19.490,39,13.6,0.21,1.34,0.79
sqlite-count-scc,160002,306667,20000,295.803,278.879,51,118.9,1.22,14.32,10.25
sqlite-dred-loop,402,667,200,4.337,0.793,25,6.5,0.11,0.29,0.07
sqlite-dred-loop,12002,22667,2000,21.019,19.796,53,15.1,0.21,1.34,0.79
sqlite-dred-loop,160002,306667,20000,293.791,278.348,67,107.6,1.22,14.32,10.25
sqlite-dred-cte,402,667,200,3.990,0.719,6,6.5,0.11,0.29,0.07
sqlite-dred-cte,12002,22667,2000,21.205,28.998,6,14.3,0.21,1.53,0.79
sqlite-dred-cte,160002,306667,20000,291.424,404.716,6,132.1,1.22,18.20,10.25
sqlite-signed-delta-v2,402,667,200,5.772,0.389,3,6.4,0.11,0.29,0.07
sqlite-signed-delta-v2,12002,22667,2000,21.291,12.521,3,13.5,0.21,1.35,0.79
sqlite-signed-delta-v2,160002,306667,20000,291.509,181.161,3,125.4,1.22,15.15,10.25
tsv2-runtime,402,667,200,14.469,3.494,92,142.4,N/A,N/A,0
tsv2-runtime,12002,22667,2000,286.214,45.942,107,173.8,N/A,N/A,0
tsv2-runtime,160002,306667,20000,6680.166,680.879,113,724.2,N/A,N/A,0
sprefa-engine-rs,402,667,200,4.852,1.054,52,8.4,N/A,N/A,0
sprefa-engine-rs,12002,22667,2000,155.650,54.943,76,60.3,N/A,N/A,0
sprefa-engine-rs,160002,306667,20000,1976.131,990.015,88,481.1,N/A,N/A,0
