engine,nodes,edges,killed,setup_ms,retract_ms,ops,rss_mb,host_peak_mb,sqlite_hw_mb,db_mb
pglite-query,402,696,180,11.785,2.251,N/A,1073.1,N/A,N/A,38.125
pglite-query,12002,24096,1715,62.776,29.264,N/A,1041.9,N/A,N/A,39.328
pglite-query,160002,326667,18096,821.610,439.898,N/A,1359.7,N/A,N/A,87.024
native-postgres-query,402,696,180,7.243,3.052,N/A,156.0,N/A,N/A,7.420
native-postgres-query,12002,24096,1715,38.335,19.669,N/A,221.1,N/A,N/A,8.623
native-postgres-query,160002,326667,18096,514.116,243.758,N/A,486.9,N/A,N/A,24.318
swi-incr,402,696,180,1,1,0,12.86,N/A,N/A,N/A
swi-incr,12002,24096,1715,74,59,0,47.00,N/A,N/A,N/A
swi-incr,160002,326667,18096,1157,1185,0,610.83,N/A,N/A,N/A
differential-dataflow,402,696,180,4.215,0.310,180,4.3,N/A,N/A,N/A
differential-dataflow,12002,24096,1715,7.705,2.593,1715,8.7,N/A,N/A,N/A
differential-dataflow,160002,326667,18096,110.767,29.306,18096,75.2,N/A,N/A,N/A
sqlite-count-scc,402,696,180,2.430,0.920,21,6.3,0.11,0.29,0.07
sqlite-count-scc,12002,24096,1715,22.557,20.383,39,15.0,0.17,1.34,0.80
sqlite-count-scc,160002,326667,18096,318.138,307.478,51,119.1,1.24,14.72,10.39
sqlite-dred-loop,402,696,180,4.421,0.943,31,6.6,0.11,0.29,0.07
sqlite-dred-loop,12002,24096,1715,22.595,21.371,53,15.1,0.17,1.34,0.80
sqlite-dred-loop,160002,326667,18096,318.918,308.840,67,113.8,1.24,14.72,10.39
sqlite-dred-cte,402,696,180,4.960,0.791,6,6.8,0.11,0.29,0.07
sqlite-dred-cte,12002,24096,1715,22.562,31.061,6,14.2,0.17,1.56,0.80
sqlite-dred-cte,160002,326667,18096,316.779,433.656,6,119.6,1.24,18.37,10.39
sqlite-signed-delta-v2,402,696,180,4.948,0.477,3,6.6,0.11,0.29,0.07
sqlite-signed-delta-v2,12002,24096,1715,22.835,13.485,3,13.8,0.17,1.38,0.80
sqlite-signed-delta-v2,160002,326667,18096,320.227,191.608,3,143.8,1.24,15.32,10.39
tsv2-runtime,402,696,180,15.847,4.010,98,142.3,N/A,N/A,0
tsv2-runtime,12002,24096,1715,314.945,46.339,107,192.0,N/A,N/A,0
tsv2-runtime,160002,326667,18096,7325.148,716.963,113,729.8,N/A,N/A,0
sprefa-engine-rs,402,696,180,6.184,1.438,64,8.8,N/A,N/A,0
sprefa-engine-rs,12002,24096,1715,163.642,57.729,76,58.3,N/A,N/A,0
sprefa-engine-rs,160002,326667,18096,2123.878,1053.401,88,513.4,N/A,N/A,0
