engine,nodes,edges,killed,setup_ms,retract_ms,ops,rss_mb,host_peak_mb,sqlite_hw_mb,db_mb
sqlite-signed-delta-v2,402,667,200,2.442,0.370,3,6.4,0.11,0.29,0.07
sqlite-signed-delta-v2,12002,22667,2000,20.629,12.205,3,13.2,0.21,1.35,0.79
sqlite-signed-delta-v2,160002,306667,20000,296.690,184.093,3,122.8,1.22,15.15,10.25
tsv2-runtime,402,667,200,14.505,3.480,92,143.1,N/A,N/A,0
tsv2-runtime,12002,22667,2000,285.405,45.083,107,183.0,N/A,N/A,0
tsv2-runtime,160002,306667,20000,6619.922,681.254,113,724.9,N/A,N/A,0
sprefa-engine-rs,402,667,200,4.914,1.070,52,8.4,N/A,N/A,0
sprefa-engine-rs,12002,22667,2000,162.129,55.288,76,64.1,N/A,N/A,0
sprefa-engine-rs,160002,306667,20000,1984.686,994.254,88,473.7,N/A,N/A,0
pglite-query,402,667,200,9.971,2.335,N/A,1083.5,N/A,N/A,38.117
pglite-query,12002,22667,2000,57.793,27.497,N/A,1057.9,N/A,N/A,39.274
pglite-query,160002,306667,20000,714.675,416.800,N/A,1353.9,N/A,N/A,70.274
native-postgres-query,402,667,200,5.375,1.796,N/A,144.6,N/A,N/A,7.412
native-postgres-query,12002,22667,2000,34.820,18.000,N/A,217.5,N/A,N/A,8.568
native-postgres-query,160002,306667,20000,486.599,234.010,N/A,473.3,N/A,N/A,23.568
swi-incr,402,667,200,1,1,0,12.73,N/A,N/A,N/A
swi-incr,12002,22667,2000,67,64,0,46.62,N/A,N/A,N/A
swi-incr,160002,306667,20000,1020,1105,0,607.97,N/A,N/A,N/A
differential-dataflow,402,667,200,0.587,0.241,200,4.0,N/A,N/A,N/A
differential-dataflow,12002,22667,2000,6.810,2.303,2000,8.5,N/A,N/A,N/A
differential-dataflow,160002,306667,20000,94.981,26.150,20000,88.4,N/A,N/A,N/A
sqlite-count,402,667,200,2.190,0.586,23,5.9,0.11,0.29,0.07
sqlite-count,12002,22667,2000,20.441,5.052,23,12.6,0.21,1.34,0.79
sqlite-count,160002,306667,20000,295.404,51.399,23,120.2,1.22,12.93,10.25
sqlite-count-scc,402,667,200,4.878,0.808,15,6.5,0.11,0.29,0.07
sqlite-count-scc,12002,22667,2000,21.080,19.320,39,13.7,0.21,1.34,0.79
sqlite-count-scc,160002,306667,20000,290.239,281.786,51,112.0,1.22,14.32,10.25
sqlite-dred-loop,402,667,200,3.809,0.891,25,6.5,0.11,0.29,0.07
sqlite-dred-loop,12002,22667,2000,21.274,19.899,53,14.2,0.21,1.34,0.79
sqlite-dred-loop,160002,306667,20000,291.306,278.194,67,108.1,1.22,14.32,10.25
sqlite-dred-cte,402,667,200,4.552,0.784,6,6.4,0.11,0.29,0.07
sqlite-dred-cte,12002,22667,2000,21.261,28.783,6,14.5,0.21,1.53,0.79
sqlite-dred-cte,160002,306667,20000,288.848,402.393,6,116.0,1.22,18.20,10.25
