engine,nodes,edges,killed,setup_ms,retract_ms,ops,rss_mb,host_peak_mb,sqlite_hw_mb,db_mb
sqlite-signed-delta-v2,402,696,180,2.477,0.400,3,6.2,0.11,0.29,0.07
sqlite-signed-delta-v2,12002,24096,1715,22.231,13.092,3,13.6,0.17,1.38,0.80
sqlite-signed-delta-v2,160002,326667,18096,314.027,188.417,3,146.4,1.24,15.32,10.39
tsv2-runtime,402,696,180,14.711,3.661,98,146.8,N/A,N/A,0
tsv2-runtime,12002,24096,1715,302.153,47.284,107,191.6,N/A,N/A,0
tsv2-runtime,160002,326667,18096,7307.737,713.982,113,750.5,N/A,N/A,0
sprefa-engine-rs,402,696,180,5.070,1.394,64,8.5,N/A,N/A,0
sprefa-engine-rs,12002,24096,1715,162.611,56.399,76,61.5,N/A,N/A,0
sprefa-engine-rs,160002,326667,18096,2111.235,1060.081,88,542.7,N/A,N/A,0
pglite-query,402,696,180,10.835,2.169,N/A,1068.1,N/A,N/A,38.125
pglite-query,12002,24096,1715,62.069,29.008,N/A,1041.0,N/A,N/A,39.328
pglite-query,160002,326667,18096,803.629,442.891,N/A,1356.7,N/A,N/A,87.024
native-postgres-query,402,696,180,7.117,2.949,N/A,160.2,N/A,N/A,7.420
native-postgres-query,12002,24096,1715,37.854,20.082,N/A,219.5,N/A,N/A,8.623
native-postgres-query,160002,326667,18096,471.333,241.759,N/A,488.1,N/A,N/A,24.318
swi-incr,402,696,180,1,1,0,12.98,N/A,N/A,N/A
swi-incr,12002,24096,1715,73,63,0,48.77,N/A,N/A,N/A
swi-incr,160002,326667,18096,1111,1163,0,666.05,N/A,N/A,N/A
differential-dataflow,402,696,180,0.601,0.342,180,4.0,N/A,N/A,N/A
differential-dataflow,12002,24096,1715,7.939,2.668,1715,8.7,N/A,N/A,N/A
differential-dataflow,160002,326667,18096,109.384,29.176,18096,73.7,N/A,N/A,N/A
sqlite-count-scc,402,696,180,2.198,0.780,21,5.9,0.11,0.29,0.07
sqlite-count-scc,12002,24096,1715,22.460,20.678,39,14.1,0.17,1.34,0.80
sqlite-count-scc,160002,326667,18096,317.758,307.445,51,121.8,1.24,14.72,10.39
sqlite-dred-loop,402,696,180,4.798,1.005,31,6.5,0.11,0.29,0.07
sqlite-dred-loop,12002,24096,1715,22.720,20.745,53,13.4,0.17,1.34,0.80
sqlite-dred-loop,160002,326667,18096,315.751,306.632,67,119.4,1.24,14.72,10.39
sqlite-dred-cte,402,696,180,5.201,0.767,6,6.6,0.11,0.29,0.07
sqlite-dred-cte,12002,24096,1715,23.540,30.582,6,15.9,0.17,1.56,0.80
sqlite-dred-cte,160002,326667,18096,314.661,432.373,6,125.2,1.24,18.37,10.39
