engine,nodes,edges,killed,setup_ms,retract_ms,ops,rss_mb,host_peak_mb,sqlite_hw_mb,db_mb
swi-incr,402,667,200,1,1,0,12.66,N/A,N/A,N/A
swi-incr,12002,22667,2000,67,55,0,46.45,N/A,N/A,N/A
swi-incr,160002,306667,20000,1021,1078,0,641.19,N/A,N/A,N/A
differential-dataflow,402,667,200,0.567,0.240,200,4.0,N/A,N/A,N/A
differential-dataflow,12002,22667,2000,6.765,2.291,2000,8.5,N/A,N/A,N/A
differential-dataflow,160002,306667,20000,95.008,25.752,20000,71.4,N/A,N/A,N/A
sqlite-count,402,667,200,2.408,0.721,23,6.2,0.11,0.29,0.07
sqlite-count,12002,22667,2000,20.611,5.059,23,13.0,0.21,1.34,0.79
sqlite-count,160002,306667,20000,291.591,51.397,23,118.4,1.22,12.93,10.25
sqlite-count-scc,402,667,200,4.887,0.795,15,6.7,0.11,0.29,0.07
sqlite-count-scc,12002,22667,2000,21.548,19.927,39,14.8,0.21,1.34,0.79
sqlite-count-scc,160002,306667,20000,292.241,277.066,51,114.3,1.22,14.32,10.25
sqlite-dred-loop,402,667,200,4.075,0.813,25,6.7,0.11,0.29,0.07
sqlite-dred-loop,12002,22667,2000,21.363,19.875,53,14.0,0.21,1.34,0.79
sqlite-dred-loop,160002,306667,20000,292.113,277.508,67,110.0,1.22,14.32,10.25
sqlite-dred-cte,402,667,200,4.248,0.732,6,6.6,0.11,0.29,0.07
sqlite-dred-cte,12002,22667,2000,21.038,28.019,6,13.0,0.21,1.53,0.79
sqlite-dred-cte,160002,306667,20000,287.877,405.564,6,118.2,1.22,18.20,10.25
sqlite-signed-delta-v2,402,667,200,4.323,0.454,3,6.8,0.11,0.29,0.07
sqlite-signed-delta-v2,12002,22667,2000,21.338,12.716,3,13.6,0.21,1.35,0.79
sqlite-signed-delta-v2,160002,306667,20000,291.124,178.274,3,124.2,1.22,15.15,10.25
tsv2-runtime,402,667,200,14.626,3.425,92,142.1,N/A,N/A,0
tsv2-runtime,12002,22667,2000,283.758,47.203,107,179.0,N/A,N/A,0
tsv2-runtime,160002,306667,20000,6671.595,686.271,113,718.1,N/A,N/A,0
sprefa-engine-rs,402,667,200,4.934,1.055,52,8.4,N/A,N/A,0
sprefa-engine-rs,12002,22667,2000,153.858,53.792,76,59.3,N/A,N/A,0
sprefa-engine-rs,160002,306667,20000,1969.350,993.937,88,441.1,N/A,N/A,0
pglite-query,402,667,200,9.870,1.727,N/A,1053.9,N/A,N/A,38.117
pglite-query,12002,22667,2000,59.152,27.925,N/A,1046.6,N/A,N/A,39.274
pglite-query,160002,306667,20000,716.517,416.780,N/A,1362.5,N/A,N/A,70.274
native-postgres-query,402,667,200,5.553,1.847,N/A,144.4,N/A,N/A,7.412
native-postgres-query,12002,22667,2000,35.648,18.431,N/A,219.8,N/A,N/A,8.568
native-postgres-query,160002,306667,20000,525.806,227.523,N/A,502.7,N/A,N/A,23.568
