args/imported_assigned_call	args/imported_assigned_call/to_import.py	func	args/imported_assigned_call/main.py	param_func
args/imported_call	args/imported_call/to_import.py	func	args/imported_call/main.py	param_func
decorators/nested_decorators	decorators/nested_decorators/main.py		decorators/nested_decorators/main.py	func
decorators/nested_decorators	decorators/nested_decorators/main.py	inner	decorators/nested_decorators/main.py	inner
dicts/ext_key	dicts/ext_key/main.py		dicts/ext_key/main.py	func
dicts/new_key_param	dicts/new_key_param/main.py		dicts/new_key_param/main.py	func2
dicts/param_key	dicts/param_key/main.py	func1	dicts/param_key/main.py	func2
dicts/param_key	dicts/param_key/main.py	func1	dicts/param_key/main.py	func3
direct_calls/imported_return_call	direct_calls/imported_return_call/main.py		direct_calls/imported_return_call/to_import.py	return_func
dynamic/eval	dynamic/eval/main.py		dynamic/eval/main.py	func
generators/iter_param	generators/iter_param/main.py	func	generators/iter_param/main.py	__iter__
generators/iter_param	generators/iter_param/main.py	func	generators/iter_param/main.py	__next__
generators/iter_return	generators/iter_return/main.py		generators/iter_return/main.py	__iter__
generators/iter_return	generators/iter_return/main.py		generators/iter_return/main.py	__next__
generators/iter_return	generators/iter_return/main.py		generators/iter_return/main.py	func
generators/iterable	generators/iterable/main.py		generators/iterable/main.py	__iter__
generators/iterable	generators/iterable/main.py		generators/iterable/main.py	__next__
generators/iterable_assigned	generators/iterable_assigned/main.py		generators/iterable_assigned/main.py	__iter__
generators/iterable_assigned	generators/iterable_assigned/main.py		generators/iterable_assigned/main.py	__next__
generators/yield	generators/yield/main.py		generators/yield/main.py	func2
kwargs/chained_call	kwargs/chained_call/main.py	func2	kwargs/chained_call/main.py	func2
lambdas/calls_parameter	lambdas/calls_parameter/main.py	<lambda1>	lambdas/calls_parameter/main.py	func1
lambdas/calls_parameter	lambdas/calls_parameter/main.py	<lambda1>	lambdas/calls_parameter/main.py	func2
lists/ext_index	lists/ext_index/main.py		lists/ext_index/main.py	func2
lists/param_index	lists/param_index/main.py	func1	lists/param_index/main.py	func2
lists/slice	lists/slice/main.py		lists/slice/main.py	func2
returns/imported_call	returns/imported_call/main.py		returns/imported_call/to_import.py	return_func
returns/nested_import_call	returns/nested_import_call/main.py		returns/nested_import_call/to_import2.py	return_func
