engine,nodes,edges,killed,setup_ms,retract_ms,ops,rss_mb,host_peak_mb,sqlite_hw_mb,db_mb
sqlite-count-scc,402,696,180,7.205,0.790,21,6.0,0.11,0.29,0.07
sqlite-count-scc,12002,24096,1715,22.146,20.677,39,13.4,0.17,1.34,0.80
sqlite-count-scc,160002,326667,18096,315.433,306.926,51,118.6,1.24,14.72,10.39
sqlite-dred-loop,402,696,180,4.571,1.002,31,6.9,0.11,0.29,0.07
sqlite-dred-loop,12002,24096,1715,22.355,21.411,53,14.0,0.17,1.34,0.80
sqlite-dred-loop,160002,326667,18096,312.412,308.212,67,110.7,1.24,14.72,10.39
sqlite-dred-cte,402,696,180,4.238,0.802,6,6.6,0.11,0.29,0.07
sqlite-dred-cte,12002,24096,1715,22.346,29.258,6,13.5,0.17,1.56,0.80
sqlite-dred-cte,160002,326667,18096,316.652,436.015,6,133.5,1.24,18.37,10.39
sqlite-signed-delta-v2,402,696,180,4.585,0.407,3,6.8,0.11,0.29,0.07
sqlite-signed-delta-v2,12002,24096,1715,22.581,13.379,3,13.5,0.17,1.38,0.80
sqlite-signed-delta-v2,160002,326667,18096,326.355,190.141,3,125.1,1.24,15.32,10.39
tsv2-runtime,402,696,180,15.005,3.659,98,146.8,N/A,N/A,0
tsv2-runtime,12002,24096,1715,314.924,47.429,107,192.2,N/A,N/A,0
tsv2-runtime,160002,326667,18096,7302.168,721.803,113,734.2,N/A,N/A,0
sprefa-engine-rs,402,696,180,5.052,1.411,64,8.5,N/A,N/A,0
sprefa-engine-rs,12002,24096,1715,168.484,58.535,76,57.4,N/A,N/A,0
sprefa-engine-rs,160002,326667,18096,2136.740,1056.267,88,503.2,N/A,N/A,0
pglite-query,402,696,180,10.293,2.174,N/A,1051.0,N/A,N/A,38.125
pglite-query,12002,24096,1715,62.954,29.256,N/A,1068.6,N/A,N/A,39.328
pglite-query,160002,326667,18096,809.333,441.921,N/A,1353.5,N/A,N/A,87.024
native-postgres-query,402,696,180,6.987,2.894,N/A,160.2,N/A,N/A,7.420
native-postgres-query,12002,24096,1715,37.810,19.022,N/A,220.9,N/A,N/A,8.623
native-postgres-query,160002,326667,18096,513.407,246.357,N/A,477.0,N/A,N/A,24.318
swi-incr,402,696,180,1,1,0,13.23,N/A,N/A,N/A
swi-incr,12002,24096,1715,77,63,0,47.28,N/A,N/A,N/A
swi-incr,160002,326667,18096,1123,1148,0,563.11,N/A,N/A,N/A
differential-dataflow,402,696,180,4.225,0.307,180,4.3,N/A,N/A,N/A
differential-dataflow,12002,24096,1715,7.674,2.591,1715,8.7,N/A,N/A,N/A
differential-dataflow,160002,326667,18096,109.543,29.627,18096,83.4,N/A,N/A,N/A
