engine,nodes,edges,killed,setup_ms,retract_ms,ops,rss_mb,host_peak_mb,sqlite_hw_mb,db_mb
sqlite-count-scc,402,667,200,2.373,0.802,15,6.0,0.11,0.29,0.07
sqlite-count-scc,12002,22667,2000,20.531,18.731,39,13.3,0.21,1.34,0.79
sqlite-count-scc,160002,306667,20000,289.782,278.470,51,129.6,1.22,14.32,10.25
sqlite-dred-loop,402,667,200,4.810,0.926,25,7.0,0.11,0.29,0.07
sqlite-dred-loop,12002,22667,2000,21.316,19.249,53,13.7,0.21,1.34,0.79
sqlite-dred-loop,160002,306667,20000,290.924,281.952,67,104.4,1.22,14.32,10.25
sqlite-dred-cte,402,667,200,4.313,0.750,6,6.6,0.11,0.29,0.07
sqlite-dred-cte,12002,22667,2000,21.486,28.660,6,14.8,0.21,1.53,0.79
sqlite-dred-cte,160002,306667,20000,290.388,403.555,6,130.8,1.22,18.20,10.25
sqlite-signed-delta-v2,402,667,200,4.557,0.376,3,6.7,0.11,0.29,0.07
sqlite-signed-delta-v2,12002,22667,2000,21.204,12.364,3,13.2,0.21,1.35,0.79
sqlite-signed-delta-v2,160002,306667,20000,292.655,179.158,3,114.8,1.22,15.15,10.25
tsv2-runtime,402,667,200,14.413,3.670,92,151.5,N/A,N/A,0
tsv2-runtime,12002,22667,2000,280.218,44.508,107,173.8,N/A,N/A,0
tsv2-runtime,160002,306667,20000,6659.316,678.385,113,724.6,N/A,N/A,0
sprefa-engine-rs,402,667,200,4.907,1.046,52,8.4,N/A,N/A,0
sprefa-engine-rs,12002,22667,2000,157.851,53.833,76,62.2,N/A,N/A,0
sprefa-engine-rs,160002,306667,20000,1977.304,987.991,88,466.0,N/A,N/A,0
pglite-query,402,667,200,10.956,1.921,N/A,1064.2,N/A,N/A,38.117
pglite-query,12002,22667,2000,58.160,27.588,N/A,1107.1,N/A,N/A,39.274
pglite-query,160002,306667,20000,723.622,415.550,N/A,1368.7,N/A,N/A,70.274
native-postgres-query,402,667,200,5.331,1.819,N/A,144.6,N/A,N/A,7.412
native-postgres-query,12002,22667,2000,34.630,19.145,N/A,218.6,N/A,N/A,8.568
native-postgres-query,160002,306667,20000,458.935,237.739,N/A,473.6,N/A,N/A,23.568
swi-incr,402,667,200,1,1,0,12.72,N/A,N/A,N/A
swi-incr,12002,22667,2000,68,56,0,48.45,N/A,N/A,N/A
swi-incr,160002,306667,20000,1022,1102,0,604.11,N/A,N/A,N/A
differential-dataflow,402,667,200,0.587,0.242,200,4.0,N/A,N/A,N/A
differential-dataflow,12002,22667,2000,6.571,2.246,2000,8.5,N/A,N/A,N/A
differential-dataflow,160002,306667,20000,92.025,25.825,20000,80.9,N/A,N/A,N/A
sqlite-count,402,667,200,2.512,0.718,23,6.1,0.11,0.29,0.07
sqlite-count,12002,22667,2000,21.038,5.141,23,13.5,0.21,1.34,0.79
sqlite-count,160002,306667,20000,296.771,51.252,23,115.3,1.22,12.93,10.25
